id1,id2
181,0
3255,1
3456,2
5785,2
267,3
1916,4
2872,5
3345,6
2984,7
4293,8
3457,9
4371,10
1454,11
2917,12
4981,13
2073,14
883,15
5627,16
5170,17
718,18
4691,19
3274,20
5758,21
1635,22
220,22
1266,23
3872,24
838,25
2779,26
2890,27
4480,28
1786,29
175,30
137,31
4698,32
4279,33
3271,34
3271,35
1759,36
5894,37
3341,38
3980,39
679,40
3383,41
1161,41
5701,42
815,43
5604,44
2143,44
1109,45
5196,46
664,48
3654,49
1718,50
653,51
1908,52
3978,53
2915,54
1330,55
573,56
2120,57
3743,58
679,59
2416,60
1583,61
1231,62
29,63
4517,64
4357,65
228,66
2078,67
3898,68
5510,69
3637,70
268,71
2489,72
4315,73
2288,74
2288,75
2017,77
6016,78
381,80
4986,81
2721,82
4691,83
4706,84
4649,84
3321,84
267,85
5932,86
3543,86
3649,87
1225,88
2809,89
850,90
827,91
3129,92
706,93
4000,93
2802,94
4986,95
1507,96
3898,98
3192,99
1524,100
3637,101
5074,102
1111,103
1945,104
3068,106
3944,107
4072,107
4431,107
2148,108
5602,109
1665,110
632,111
4614,112
3540,113
4051,113
4869,114
3377,115
5789,116
301,117
3995,118
3869,119
532,120
1517,121
3351,122
170,123
838,124
3241,125
5215,126
11,127
3584,128
4212,129
568,130
4927,131
5715,132
1938,133
4511,134
1704,135
5364,136
536,137
1649,138
3645,139
4679,140
1658,141
2727,143
738,144
2884,145
5250,146
3667,147
595,148
681,149
2213,150
4958,151
3771,152
5215,153
5384,154
3722,155
4296,156
2280,157
4244,158
3649,158
694,159
794,160
1954,162
4256,163
3457,163
4156,164
164,165
2955,166
4649,167
866,168
3833,169
4451,170
2977,171
1764,172
5331,173
5920,174
4164,175
740,176
5897,177
5534,178
1333,180
5675,181
4659,182
114,183
2892,184
2245,185
1748,187
2146,188
5662,189
1146,190
2982,191
1356,192
4746,193
2809,194
6028,195
3993,196
2327,198
4181,198
568,199
5838,200
3100,201
3236,203
6001,204
817,205
2668,206
2148,208
840,209
5860,210
2163,212
850,213
5453,214
4812,215
2463,216
4398,218
204,219
1896,220
3158,222
279,223
1104,224
2809,225
699,226
3543,227
5932,227
5032,228
246,229
5264,230
562,231
83,232
4967,233
2221,234
5405,235
2606,236
4502,237
157,238
1874,239
5,240
3511,241
318,242
801,243
118,244
3637,245
3352,246
3140,247
4127,248
5653,249
27,249
5058,250
1981,251
1928,251
3009,252
5941,253
3345,254
2254,255
5172,256
2355,257
3127,257
4691,258
5989,259
6018,260
5054,261
2629,262
267,263
5452,264
2155,265
1559,265
961,265
2496,265
2536,265
2820,265
5890,265
3439,265
4684,265
1332,265
4941,265
341,265
4272,265
126,265
5219,265
4026,265
2208,265
2780,265
399,265
4639,265
4645,267
2809,268
964,269
2023,269
3271,270
2992,271
1473,272
1002,274
4357,276
4261,277
2875,278
2993,279
3592,280
3900,281
5566,282
2084,283
2154,284
3017,285
3168,286
1473,287
5483,288
1862,288
602,288
2919,288
121,288
1273,288
2835,288
284,289
5970,290
2259,292
2809,293
745,294
3410,296
4667,297
4258,298
4513,298
738,300
5566,301
80,302
1360,303
3260,304
3179,305
4146,306
776,307
1496,308
1596,310
5760,310
3865,311
3508,312
232,314
3005,315
4918,316
4240,317
5264,318
4725,319
895,320
774,321
3829,322
773,324
3002,325
4234,327
738,328
5232,329
1690,330
4384,331
3616,332
560,333
3978,334
5192,335
4689,336
1877,337
3906,338
4148,339
42,340
3511,342
4418,343
2451,344
3575,345
1996,346
1520,347
4244,348
420,349
4939,350
4682,351
3036,352
2380,353
2295,354
4343,355
1906,356
4244,357
896,358
2084,361
3161,363
1910,363
468,364
3645,365
5476,366
407,367
1089,368
2277,369
5860,370
2176,371
2319,372
1685,374
1550,375
3875,376
5126,377
617,378
3637,380
5390,381
5041,382
1274,383
2809,384
3271,385
1524,386
4031,387
2678,388
2637,390
572,393
2272,394
3274,395
589,396
4367,397
2177,398
284,399
4376,401
1119,402
3271,403
2148,404
5786,405
3271,407
5494,408
5021,410
3543,411
1641,413
5464,414
2809,415
4691,416
4252,417
1906,418
141,421
5914,422
4595,423
1617,424
279,427
5119,428
2759,429
4935,430
4245,433
1934,434
3905,436
2557,438
3271,439
2809,440
1788,442
3730,443
3412,443
5305,444
2122,445
6026,446
697,446
5882,448
3903,449
5040,450
3645,451
4749,452
2154,453
204,455
3921,457
4700,458
1356,458
5613,459
5079,460
5065,461
4985,462
862,463
2288,464
5119,466
2973,467
3958,468
1330,469
5467,470
2774,471
420,473
1231,475
615,477
5258,479
3996,480
3084,481
301,482
2809,483
2168,484
168,485
1103,485
1874,486
3201,487
2264,488
5889,489
1571,491
4667,492
175,493
1914,494
350,494
5136,495
3829,496
718,497
2342,499
4262,501
28,502
4171,502
4811,504
5949,505
2809,507
638,509
5654,510
2928,511
3018,513
3271,514
1949,515
3514,516
3081,517
2085,518
2008,519
3548,520
2809,521
4649,523
3321,523
267,524
588,525
5055,526
877,527
5859,528
5502,529
4942,529
4991,530
3957,532
5150,533
4501,534
4049,535
1951,536
2987,537
4411,538
3991,539
3857,540
649,541
3270,542
1245,543
1127,544
2154,545
1929,546
857,547
3453,548
3187,549
3645,550
5524,551
1727,553
2504,554
2809,555
4343,556
3887,557
28,558
4560,559
1933,560
4009,562
1788,563
2416,564
5249,566
157,569
3716,570
3521,571
5643,572
5835,573
3309,574
4164,575
170,576
1256,577
734,578
2382,579
4723,580
5654,581
3274,582
4965,583
3575,584
3592,585
3996,586
3556,587
1104,588
436,589
394,589
3212,590
769,591
1558,591
1002,592
5320,593
3413,595
3958,596
2225,596
5395,597
4392,599
2809,600
5854,601
1641,602
208,603
5906,604
5615,606
1190,607
4440,608
2274,612
791,613
4937,614
5234,615
911,616
5136,619
3075,620
2915,621
5526,622
3355,624
1763,625
2572,626
3092,627
749,628
2487,629
3543,630
3552,631
3780,632
3547,633
3489,634
4743,635
4504,636
5336,638
2810,639
924,640
3575,641
5758,642
3790,643
1984,647
1691,648
476,651
2661,652
3592,654
3540,655
4051,655
4520,656
284,657
4238,658
3096,659
2066,660
4168,661
604,662
3013,663
5671,663
2809,666
1119,667
3398,669
1805,670
5218,671
5993,673
2816,675
3882,676
4398,677
808,678
5,679
1225,680
5223,681
1557,685
3587,687
676,688
3960,690
2073,692
4379,693
5756,695
52,696
391,697
2808,698
63,699
5938,700
2809,701
2809,702
3641,703
2616,704
1532,705
3041,706
4986,707
5331,708
1998,710
2662,711
241,713
4398,714
1121,715
2711,716
3229,717
2082,719
3302,720
3834,721
4066,722
2094,723
3999,724
10,725
2065,726
10,727
3031,728
3351,729
5345,730
5903,731
2774,732
22,733
5395,734
3379,736
3088,737
3637,739
4331,741
3345,742
4325,743
1681,744
2315,745
4513,746
3733,747
1333,748
1981,749
2755,750
5590,752
1509,753
5310,754
2511,756
3161,757
4946,758
3910,759
4424,760
3271,761
5817,762
1111,763
2884,764
1665,764
4828,765
2977,766
1832,767
214,768
5232,769
2809,771
2547,773
4037,773
4175,774
2809,776
5837,777
1551,778
1708,779
5354,779
4095,780
4365,781
1132,782
4695,783
2742,784
1040,785
68,787
2610,788
4297,790
1711,791
2451,792
2937,793
935,795
566,796
5654,797
5206,798
4738,800
3536,801
3967,803
2809,804
1005,805
182,807
4986,809
5866,810
5181,812
3386,813
5223,814
5735,816
2085,817
2960,818
2154,818
3814,819
2809,820
4873,821
2688,822
198,822
598,824
2287,825
1475,826
2404,827
5671,829
1922,830
1827,830
5863,831
5554,832
4813,833
4386,834
2192,836
133,838
455,840
5331,841
3944,842
4174,844
3351,845
1109,847
4452,849
2721,850
3751,852
2973,854
3215,856
3367,859
3678,860
4037,861
4240,862
5297,863
1210,864
4511,865
1089,866
518,867
723,868
373,870
2543,870
5267,871
5634,872
4864,873
5108,875
1996,877
3271,878
1376,879
3586,880
2987,883
4864,884
3677,885
1340,886
1356,887
3271,888
5607,889
548,890
4557,891
3645,892
1089,894
4935,895
1119,896
4741,897
5126,898
1619,899
5624,900
947,901
3930,903
3291,904
5986,905
3761,906
83,907
4807,908
4036,909
805,910
1039,912
2085,913
102,916
3940,917
3831,919
5431,920
3715,921
4616,923
2853,924
3632,925
3324,928
160,929
4404,930
2401,932
452,933
4821,934
926,935
3106,935
4105,935
1838,935
1189,935
1444,936
1133,937
4856,938
5187,940
3069,941
2726,942
781,947
3271,949
1872,951
428,952
2175,953
4750,954
4537,955
6011,956
64,958
5328,959
2605,960
5074,961
246,962
3157,963
3079,964
2998,965
2445,965
785,966
5901,968
5385,969
1989,969
2887,971
5707,972
2587,973
3413,974
1373,975
97,976
3190,977
4165,978
4254,979
4164,980
1782,981
1356,982
3757,983
982,984
3087,985
5930,986
3067,987
1993,989
4264,991
612,993
2325,994
355,995
2147,996
4419,998
308,999
4511,1000
3857,1001
3682,1002
4704,1003
4053,1005
2476,1006
2919,1008
5483,1008
121,1008
1273,1008
2835,1008
1862,1008
602,1008
4986,1009
1537,1010
4416,1011
100,1012
1078,1013
2238,1014
1473,1015
5435,1018
3414,1019
5654,1020
2381,1021
4341,1022
2809,1023
5227,1024
4453,1025
1767,1026
2207,1027
5867,1028
