id1,id2
0,21732
1,56589
2,60625
3,21408
4,2541
5,45565
6,16121
7,32111
8,18579
9,21608
10,19424
11,26264
12,9522
13,33467
14,2019
15,7909
16,22412
17,39778
18,25181
19,4918
20,9485
21,15667
22,4252
23,12125
24,20020
25,25681
26,42771
27,21036
28,32412
29,11586
30,19412
31,10061
32,12782
33,51622
34,7840
35,18487
36,1425
37,24704
38,17035
39,31172
40,33595
41,15779
42,27804
43,61205
44,12237
45,57521
46,18925
47,5319
48,60873
49,42564
50,5076
51,1799
52,26493
53,6291
54,16105
55,19874
56,55434
57,59339
58,37469
59,27180
60,26792
61,33002
62,36610
63,17903
64,3385
65,39827
66,23006
67,47953
68,8672
69,15312
70,9357
71,50886
72,45664
73,34208
74,8225
75,27517
76,25543
77,44890
78,30252
79,29203
80,21832
81,61242
82,8901
83,3256
84,48758
85,1333
86,22002
87,7029
88,9157
89,30107
90,3379
91,31260
92,14103
93,10992
94,31221
95,36839
96,16520
97,11671
98,1833
99,3664
100,116
101,2104
102,1732
103,14326
104,2097
105,3449
106,49016
107,43941
108,9451
109,49494
110,7247
111,1807
112,34316
113,17732
114,4592
115,15591
116,56445
117,40566
118,11605
119,46497
120,22466
121,59703
122,1960
123,1490
124,27867
125,20275
126,39325
127,36204
128,24130
129,36440
130,19326
131,9102
132,6678
133,58301
134,46139
135,24938
136,6932
137,17754
138,16893
139,3446
140,19343
141,19242
142,57297
143,49407
144,36459
145,31058
146,1041
147,7576
148,5770
149,22278
150,53062
151,41133
152,7361
153,50248
154,13350
155,22096
156,8167
157,20679
158,25365
159,36763
160,21979
161,4777
162,19398
163,50628
164,24154
165,33809
166,7568
167,28075
168,31100
169,34905
170,39546
171,26104
172,7577
173,39666
174,3307
175,434
176,39155
177,27026
178,26326
179,38481
180,30482
181,2286
182,18671
183,18379
184,51846
185,44720
186,47727
187,31618
188,57945
189,42995
190,3521
191,26561
192,48805
193,17374
194,16572
195,10279
196,32305
197,40815
198,4654
199,35281
200,60090
201,3354
202,18057
203,10676
204,16829
205,8672
206,32761
207,17390
208,22006
209,58725
210,4656
211,54669
212,31905
213,44997
214,39993
215,8647
216,5881
217,54222
218,294
